date,Redlands Count_Person_BelowPovertyLevelInThePast12Months
2011,0.10006905983831874
2012,0.1036574632019391
2013,0.11309564110549906
2014,0.13182304432016684
2015,0.13115952822651628
2016,0.13000853092120407
2017,0.1412476810789584
2018,0.12594618749069048
2019,0.10396890953161181
2020,0.0989451448225433
2021,0.0826551476661837
2022,0.08203225500683828
