date,Redlands Count_Person_Employed
2023-03,36388
2023-04,36122
2023-05,36077
2023-06,35616
2023-07,35896
2023-08,35794
2023-09,36121
2023-10,36198
2023-11,36409
2023-12,36152
2024-01,36019
2024-02,35958
2024-03,36128
2024-04,35851
